chw_genre_name,latitude,visit_year,visit_month,visit_weekday,city,ward,neighborhood,holiday_flg_0,holiday_flg_1,mean_visitors,median_visitors,min_visitors,max_visitors
2,35.6995657,2016,12,4,7,46,3,1,0,12.452830188679245,11.0,3.0,24.0
6,33.5913576,2016,2,0,0,9,14,1,0,7.509433962264151,6.0,1.0,18.0
7,34.6882414,2016,9,4,3,25,61,1,0,24.88888888888889,26.0,6.0,55.0
8,35.6092261,2016,1,1,7,43,21,1,0,30.51851851851852,31.5,9.0,57.0
8,35.6580681,2017,1,1,7,29,76,1,0,20.183333333333334,20.0,10.0,33.0
4,35.6092261,2016,10,2,7,43,21,1,0,50.61764705882353,51.5,3.0,84.0
4,34.7012792,2016,6,4,8,53,65,1,0,31.516129032258064,32.0,11.0,47.0
7,35.5612568,2016,4,6,7,54,32,1,0,17.54385964912281,16.0,1.0,36.0
6,35.6940027,2016,8,3,7,5,45,0,1,16.52777777777778,16.5,3.0,31.0
12,35.6940027,2017,2,3,7,5,45,1,0,22.4,20.0,8.0,35.0
4,38.2690761,2017,3,2,4,40,36,1,0,9.5625,10.5,3.0,18.0
1,33.5892157,2016,3,5,0,9,9,1,0,7.785714285714286,7.0,3.0,18.0
2,35.6092076,2017,2,6,7,28,28,1,0,21.515151515151516,21.0,6.0,45.0
7,33.8664649,2016,7,0,0,22,69,0,1,25.457142857142856,25.0,5.0,52.0
7,34.7997673,2017,3,2,3,50,92,1,0,21.57377049180328,22.0,3.0,41.0
6,35.6749184,2016,11,0,7,29,1,1,0,18.627450980392158,19.0,5.0,44.0
11,35.6414629,2016,9,1,7,28,35,1,0,27.176470588235293,29.5,2.0,51.0
8,35.6706505,2016,4,4,7,6,90,1,0,13.8,14.0,1.0,31.0
6,35.6580681,2017,2,3,7,29,76,1,0,7.34375,6.5,2.0,20.0
4,35.6940027,2016,11,0,7,5,45,1,0,14.862068965517242,15.0,1.0,30.0
7,35.6706505,2016,11,2,7,6,90,1,0,16.528301886792452,16.0,6.0,29.0
7,38.2690761,2017,3,2,4,40,36,1,0,26.345454545454544,25.0,2.0,65.0
6,35.6706505,2017,1,4,7,6,90,1,0,59.82142857142857,59.0,27.0,79.0
2,37.3718999,2016,10,2,5,18,7,1,0,21.0,22.0,7.0,42.0
6,35.6580681,2017,1,5,7,29,76,1,0,8.487179487179487,6.0,2.0,27.0
11,34.6876966,2016,7,1,8,53,48,1,0,40.53488372093023,40.0,7.0,61.0
7,34.7569503,2017,2,6,3,17,31,1,0,18.45945945945946,17.0,3.0,56.0
8,35.6706505,2016,7,4,7,6,90,1,0,7.705882352941177,8.0,1.0,14.0
7,35.7066569,2017,2,0,7,7,6,1,0,24.705882352941178,20.5,1.0,70.0
7,35.712607,2016,8,4,7,49,20,1,0,11.310344827586206,9.5,1.0,66.0
11,34.7108955,2016,8,3,6,11,62,1,0,15.789473684210526,15.0,1.0,36.0
4,35.6617773,2016,12,4,7,42,77,1,0,20.446428571428573,19.0,7.0,52.0
2,34.7053617,2016,3,1,8,53,94,1,0,13.115384615384615,11.0,2.0,40.0
2,35.6465721,2017,3,0,7,41,75,1,0,15.5,15.0,2.0,38.0
2,43.0744699,2016,9,2,2,39,44,1,0,24.08,23.0,15.0,40.0
7,35.7118769,2017,2,3,7,49,4,1,0,13.555555555555555,12.5,2.0,37.0
7,33.5892157,2016,9,1,0,9,9,1,0,32.666666666666664,32.5,3.0,81.0
1,35.6617773,2016,10,4,7,42,77,1,0,12.675675675675675,11.0,2.0,26.0
7,35.6995366,2016,8,3,7,26,33,1,0,27.85,27.5,10.0,51.0
4,38.2690761,2016,12,5,4,40,36,1,0,12.393939393939394,11.0,3.0,25.0
2,35.7756644,2017,2,3,7,1,8,1,0,35.8125,32.0,8.0,167.0
